Blocks, time
46100,0.939
46200,0.974
46300,0.939
46400,0.953
46500,0.98
46600,0.949
46700,0.985
46800,1.023
46900,0.981
47000,0.976
47100,1.014
47200,0.984
47300,1.031
47400,0.988
47500,1.033
47600,1.005
47700,1.001
47800,1.003
47900,1.005
48000,1.031
48100,1.058
48200,1.04
48300,1.029
48400,1.027
48500,1.04
48600,1.052
48700,1.042
48800,1.049
48900,1.05
49000,1.057
49100,1.067
49200,1.066
49300,1.07
49400,1.086
49500,1.078
49600,1.12
49700,1.09
49800,1.101
49900,1.1
50000,1.103
50100,1.106
50200,1.106
50300,1.112
50400,1.124
50500,1.121
50600,1.123
50700,1.148
50800,1.139
50900,1.15
51000,1.169
51100,1.283
51200,1.174
51300,1.159
51400,1.162
51500,1.166
51600,1.209
51700,1.17
51800,1.202
51900,1.18
52000,1.158
52100,1.181
52200,1.221
52300,1.196
52400,1.187
52500,1.221
52600,1.222
52700,1.208
52800,1.22
52900,1.23
53000,1.231
53100,1.238
53200,1.22
53300,1.247
53400,1.281
53500,1.254
53600,1.285
53700,1.509
53800,1.289
53900,1.389
54000,1.33
54100,1.329
54200,1.34
54300,1.346
54400,1.333
54500,1.362
54600,1.409
54700,1.478
54800,1.434
54900,1.391
55000,1.398
55100,1.499
55200,1.473
55300,1.408
55400,1.414
55500,1.415
55600,1.563
55700,1.399
55800,1.383
55900,1.434
56000,1.382
56100,1.44
56200,1.394
56300,1.432
56400,1.406
56500,1.41
56600,1.407
56700,1.412
56800,1.419
56900,1.424
57000,1.463
57100,1.45
57200,1.437
57300,1.444
57400,1.442
57500,1.501
57600,1.442
57700,1.494
57800,1.485
57900,1.509
58000,1.472
58100,1.488
58200,1.484
58300,1.495
58400,1.487
58500,1.517
58600,1.534
58700,1.539
58800,1.516
58900,1.524
59000,1.544
59100,1.534
59200,1.537
59300,1.605
59400,1.521
59500,1.563
59600,1.558
59700,1.564
59800,1.619
59900,1.569
60000,1.583
60100,1.61
60200,1.555
60300,1.603
60400,1.608
60500,1.66
60600,1.615
60700,1.62
60800,1.616
60900,1.618
61000,1.651
61100,1.673
61200,1.638
61300,1.628
61400,1.712
61500,1.712
61600,1.66
61700,1.678
61800,1.68
61900,1.698
62000,1.665
62100,1.66
62200,1.704
62300,1.701
62400,1.738
62500,1.71
62600,1.737
62700,1.692
62800,1.727
62900,1.786
63000,1.747
63100,1.753
63200,1.796
63300,1.838
63400,1.874
63500,1.963
63600,1.854
63700,1.833
63800,1.782
63900,1.812
64000,1.83
64100,1.815
64200,1.819
64300,1.837
64400,1.888
64500,1.838
64600,1.854
64700,1.886
64800,1.995
64900,1.945
65000,2.089
65100,1.889
65200,1.914
65300,1.917
65400,1.902
65500,1.905
65600,2.011
65700,1.93
65800,1.959
65900,1.972
66000,1.964
66100,1.948
66200,1.97
66300,1.941
66400,1.996
66500,2.022
66600,1.986
66700,2.144
66800,2.026
66900,2.015
67000,2.012
67100,2.014
67200,2.028
67300,1.994
67400,2.018
67500,2.005
67600,2.057
67700,2.042
67800,2.07
67900,2.07
68000,2.129
68100,2.07
68200,2.085
68300,2.145
68400,2.1
68500,2.129
68600,2.063
68700,2.093
68800,2.185
68900,2.172
69000,2.163
69100,2.136
69200,2.15
69300,2.134
69400,2.162
69500,2.196
69600,2.186
69700,2.167
69800,2.209
