Blocks,Insertion,Selection
29400,0.359,0.385
29500,0.363,0.405
29600,0.359,0.388
29700,0.353,0.393
29800,0.344,0.386
29900,0.359,0.399
30000,0.359,0.437
30100,0.359,0.403
30200,0.36,0.407
30300,0.363,0.407
30400,0.377,0.423
30500,0.367,0.412
30600,0.383,0.43
30700,0.371,0.418
30800,0.389,0.435
30900,0.391,0.44
31000,0.379,0.424
31100,0.395,0.445
31200,0.397,0.433
31300,0.413,0.451
31400,0.401,0.437
31500,0.406,0.446
31600,0.398,0.443
31700,0.406,0.452
31800,0.417,0.464
31900,0.417,0.468
32000,0.413,0.453
32100,0.434,0.472
32200,0.419,0.457
32300,0.443,0.483
32400,0.427,0.465
32500,0.435,0.468
32600,0.434,0.475
32700,0.434,0.475
32800,0.434,0.476
32900,0.455,0.498
33000,0.441,0.481
33100,0.445,0.487
33200,0.437,0.484
33300,0.462,0.508
33400,0.454,0.5
33500,0.449,0.497
33600,0.463,0.517
33700,0.474,0.523
33800,0.483,0.525
33900,0.466,0.509
34000,0.486,0.538
34100,0.476,0.512
34200,0.493,0.537
34300,0.464,0.515
34400,0.477,0.527
34500,0.501,0.545
34600,0.485,0.53
34700,0.488,0.535
34800,0.49,0.541
34900,0.497,0.559
35000,0.514,0.555
35100,0.497,0.545
35200,0.502,0.552
35300,0.464,0.543
35400,0.466,0.545
35500,0.477,0.557
35600,0.481,0.562
35700,0.472,0.567
35800,0.485,0.568
35900,0.499,0.575
36000,0.5,0.587
36100,0.514,0.58
36200,0.497,0.571
36300,0.49,0.579
36400,0.521,0.588
36500,0.524,0.593
36600,0.524,0.594
36700,0.547,0.617
36800,0.533,0.614
36900,0.519,0.602
37000,0.519,0.608
37100,0.542,0.63
37200,0.526,0.611
37300,0.542,0.635
37400,0.574,0.618
37500,0.58,0.625
37600,0.585,0.627
37700,0.586,0.634
37800,0.59,0.634
37900,0.58,0.637
38000,0.588,0.64
38100,0.571,0.636
38200,0.592,0.65
38300,0.605,0.67
38400,0.602,0.65
38500,0.627,0.682
38600,0.648,0.703
38700,0.635,0.705
38800,0.667,0.716
38900,0.621,0.723
39000,0.629,0.69
39100,0.644,0.716
39200,0.647,0.694
39300,0.629,0.682
39400,0.632,0.696
39500,0.67,0.729
39600,0.671,0.742
39700,0.64,0.707
39800,0.644,0.744
39900,0.661,0.744
40000,0.666,0.733
40100,0.686,0.759
40200,0.657,0.722
40300,0.651,0.712
40400,0.666,0.723
40500,0.691,0.764
40600,0.681,0.744
40700,0.696,0.756
40800,0.753,0.777
40900,0.706,0.798
41000,0.734,0.774
41100,0.725,0.84
41200,0.719,0.792
41300,0.75,0.806
41400,0.719,0.777
41500,0.709,0.768
41600,0.713,0.775
41700,0.745,0.803
41800,0.715,0.77
41900,0.721,0.779
42000,0.705,0.77
42100,0.75,0.796
42200,0.711,0.779
42300,0.726,0.792
42400,0.734,0.797
42500,0.735,0.796
42600,0.74,0.829
42700,0.755,0.808
42800,0.754,0.814
42900,0.736,0.801
43000,0.772,0.834
43100,0.77,0.805
43200,0.766,0.822
43300,0.768,0.832
43400,0.79,0.839
43500,0.755,0.843
43600,0.763,0.836
43700,0.782,0.846
43800,0.806,0.876
43900,0.776,0.844
44000,0.787,0.852
44100,0.81,0.886
44200,0.806,0.885
44300,0.779,0.863
44400,0.826,0.896
44500,0.83,0.893
44600,0.808,0.874
44700,0.815,0.88
44800,0.812,0.882
44900,0.82,0.92
45000,0.84,0.891
45100,0.823,0.903
45200,0.821,0.9
45300,0.833,0.903
45400,0.863,0.935
45500,0.84,0.913
45600,0.841,0.922
45700,0.836,0.9
45800,0.845,0.917
45900,0.858,0.93
46000,0.862,0.931
46100,0.867,0.939
46200,0.898,0.974
46300,0.864,0.939
46400,0.88,0.953
46500,0.911,0.98
46600,0.893,0.949
46700,0.927,0.985
46800,0.913,1.023
46900,0.934,0.981
47000,0.894,0.976
47100,0.924,1.014
47200,0.895,0.984
47300,0.91,1.031
47400,0.91,0.988
47500,0.947,1.033
47600,0.939,1.005
47700,0.941,1.001
47800,0.936,1.003
47900,0.929,1.005
48000,0.937,1.031
48100,0.963,1.058
48200,0.948,1.04
48300,0.985,1.029
48400,0.947,1.027
48500,0.971,1.04
48600,0.973,1.052
48700,0.968,1.042
48800,0.973,1.049
48900,0.98,1.05
49000,1.004,1.057
49100,0.986,1.067
49200,0.972,1.066
49300,1.01,1.07
49400,1.015,1.086
49500,1.004,1.078
49600,1.026,1.12
49700,1.044,1.09
49800,0.999,1.101
49900,1.021,1.1
50000,1.012,1.103
50100,1.017,1.106
50200,1.007,1.106
50300,1.036,1.112
50400,1.013,1.124
50500,1.047,1.121
50600,1.037,1.123
50700,1.045,1.148
50800,1.058,1.139
50900,1.064,1.15
51000,1.109,1.169
51100,1.086,1.283
51200,1.024,1.174
51300,1.028,1.159
51400,1.046,1.162
51500,1.046,1.166
51600,1.048,1.209
51700,1.057,1.17
51800,1.09,1.202
51900,1.091,1.18
52000,1.072,1.158
52100,1.095,1.181
52200,1.124,1.221
52300,1.106,1.196
52400,1.106,1.187
52500,1.147,1.221
52600,1.127,1.222
52700,1.129,1.208
52800,1.154,1.22
52900,1.131,1.23
53000,1.123,1.231
53100,1.134,1.238
53200,1.138,1.22
53300,1.162,1.247
53400,1.194,1.281
53500,1.145,1.254
53600,1.279,1.285
53700,1.224,1.509
53800,1.244,1.289
53900,1.232,1.389
54000,1.227,1.33
54100,1.227,1.329
54200,1.24,1.34
54300,1.226,1.346
54400,1.272,1.333
54500,1.283,1.362
54600,1.275,1.409
54700,1.311,1.478
54800,1.331,1.434
54900,1.309,1.391
55000,1.31,1.398
55100,1.286,1.499
55200,1.305,1.473
55300,1.265,1.408
55400,1.288,1.414
55500,1.32,1.415
55600,1.346,1.563
55700,1.283,1.399
55800,1.261,1.383
55900,1.309,1.434
56000,1.222,1.382
56100,1.311,1.44
56200,1.256,1.394
56300,1.235,1.432
56400,1.175,1.406
56500,1.212,1.41
56600,1.212,1.407
56700,1.217,1.412
56800,1.298,1.419
56900,1.323,1.424
57000,1.319,1.463
57100,1.342,1.45
57200,1.324,1.437
57300,1.356,1.444
57400,1.321,1.442
57500,1.291,1.501
57600,1.295,1.442
57700,1.373,1.494
57800,1.34,1.485
57900,1.383,1.509
58000,1.362,1.472
58100,1.385,1.488
58200,1.387,1.484
58300,1.368,1.495
58400,1.349,1.487
58500,1.407,1.517
58600,1.407,1.534
58700,1.35,1.539
58800,1.394,1.516
